,wavelength,amplitude
619,841.516,3123
620,841.583,3109
621,841.65,3097
622,841.717,3130
623,841.784,3110
624,841.851,3118
625,841.918,3110
626,841.985,3086
627,842.052,3101
628,842.119,3114
629,842.186,3077
630,842.254,3096
631,842.321,3108
632,842.388,3103
633,842.455,3105
634,842.522,3101
635,842.589,3086
636,842.656,3107
637,842.723,3113
638,842.79,3124
639,842.857,3093
640,842.924,3089
641,842.991,3083
642,843.058,3113
643,843.125,3103
644,843.192,3102
645,843.26,3104
646,843.327,3097
647,843.394,3113
648,843.461,3103
649,843.528,3110
650,843.595,3101
651,843.662,3123
652,843.729,3112
653,843.796,3119
654,843.863,3097
655,843.93,3083
656,843.997,3086
657,844.064,3114
658,844.131,3079
659,844.199,3102
660,844.266,3113
661,844.333,3088
662,844.4,3118
663,844.467,3086
664,844.534,3094
665,844.601,3091
666,844.668,3091
667,844.735,3099
668,844.802,3119
669,844.869,3081
670,844.936,3122
671,845.003,3114
672,845.07,3104
673,845.137,3102
674,845.205,3116
675,845.272,3105
676,845.339,3123
677,845.406,3093
678,845.473,3111
679,845.54,3096
680,845.607,3111
681,845.674,3095
682,845.741,3111
683,845.808,3121
684,845.875,3095
685,845.942,3105
686,846.009,3090
687,846.076,3113
688,846.144,3099
689,846.211,3094
690,846.278,3104
691,846.345,3108
692,846.412,3104
693,846.479,3089
694,846.546,3101
695,846.613,3090
696,846.68,3099
697,846.747,3095
698,846.814,3092
699,846.881,3105
700,846.948,3094
701,847.015,3105
702,847.082,3134
703,847.15,3099
704,847.217,3103
705,847.284,3096
706,847.351,3110
707,847.418,3092
708,847.485,3110
709,847.552,3128
710,847.619,3117
711,847.686,3104
712,847.753,3107
713,847.82,3114
714,847.887,3110
715,847.954,3110
716,848.021,3115
717,848.089,3113
718,848.156,3080
719,848.223,3077
720,848.29,3106
721,848.357,3108
722,848.424,3093
723,848.491,3125
724,848.558,3077
725,848.625,3100
726,848.692,3091
727,848.759,3119
728,848.826,3113
729,848.893,3101
730,848.96,3075
731,849.027,3098
732,849.095,3092
733,849.162,3095
734,849.229,3127
735,849.296,3114
736,849.363,3096
737,849.43,3088
738,849.497,3087
739,849.564,3120
740,849.631,3099
741,849.698,3097
742,849.765,3115
743,849.832,3125
744,849.899,3098
745,849.966,3095
746,850.034,3108
747,850.101,3107
748,850.168,3091
749,850.235,3108
750,850.302,3087
751,850.369,3092
752,850.436,3100
753,850.503,3107
754,850.57,3070
755,850.637,3090
756,850.704,3084
757,850.771,3092
758,850.838,3079
759,850.905,3087
760,850.973,3092
761,851.04,3059
762,851.107,3075
763,851.174,3055
764,851.241,3074
765,851.308,3085
766,851.375,3122
767,851.442,3089
768,851.509,3088
769,851.576,3079
770,851.643,3059
771,851.71,3069
772,851.777,3087
773,851.844,3073
774,851.911,3063
775,851.979,3053
776,852.046,3082
777,852.113,3075
778,852.18,3075
779,852.247,3061
780,852.314,3061
781,852.381,3072
782,852.448,3078
783,852.515,3071
784,852.582,3063
785,852.649,3060
786,852.716,3062
787,852.783,3060
